,telegram_id,username,is_banned,excluded_from_airdrop
684,318355930,,1,0
685,318407796,,1,0
686,318432979,,1,0
690,318794512,,1,0
692,319383559,,1,0
694,319413473,yulia_x,1,0
696,319776360,micksmsp,1,0
697,320307161,,1,0
698,320367807,,1,0
701,320917523,,1,0
702,321663373,yucahan95,1,0
703,321715048,ungarscool1,1,0
704,321729045,toshkan88,1,0
705,321896984,jamikapop,1,0
706,321914552,,1,0
708,322252854,Aneva_Asiwa,1,0
709,322252854,Aneva_Asiwa,1,0
711,322426836,,1,0
713,322715875,methylminer,1,0
715,322740529,,1,0
716,322877958,,1,0
718,323017445,mertviy4el,1,0
719,323396829,narek271,1,0
721,323975481,,1,0
722,324096435,,1,0
723,324227885,,1,0
725,324378344,,1,0
726,324598942,bob8woods,1,0
730,325232238,dmitryevs,1,0
733,325796910,,1,0
734,325844326,,1,0
737,326110118,,1,0
738,326123532,audag2008,1,0
740,326862074,Salvatj,1,0
742,326894500,khrishh74,1,0
743,326974861,BellaBal,1,0
744,327040601,,1,0
746,327080975,,1,0
747,327234473,,1,0
750,327940761,sebvostok,1,0
753,328402344,soedra,1,0
754,328538457,,1,0
755,328573920,alfiianyudaa,1,0
756,328587979,,1,0
757,328636242,,1,0
760,329131566,daohuanjiao,1,0
761,329137470,,1,0
763,329591211,,1,0
764,329719685,qwatlkvlgs,1,0
765,329818167,gadingperson,1,0
771,330186296,hoangquocquan,1,0
772,330261935,quozvslzvs,1,0
773,330263245,chaohuangshi7,1,0
776,330415686,,1,0
777,330433410,libson,1,0
779,330551294,mrbounty,1,0
780,330579134,,1,0
783,330640400,mahrab00,1,0
785,330695972,,1,0
788,330830956,Quy1506,1,0
789,330880187,princeparker010,1,0
790,330965627,FloraMalachi,1,0
792,331048043,jiabeijiao,1,0
794,331186719,BypyStas,1,0
795,331332917,,1,0
798,331395939,SidneyLucius,1,0
806,331823806,YehudiWilliam,1,0
810,331935509,,1,0
811,331961697,ruxieyuan72,1,0
814,332215865,,1,0
815,332396195,,1,0
816,332460114,jiajieji2,1,0
818,332516313,hdfalves,1,0
820,332654646,WolFincorporated,1,0
821,332682252,abbey555,1,0
822,332697117,heyunhao6,1,0
825,332983531,Jhon_cena112,1,0
826,332985528,santrinations,1,0
828,333031957,bengshilu,1,0
829,333064990,,1,0
830,333080574,quietmessenger,1,0
831,333156217,zhanchandeng79,1,0
832,333203671,,1,0
835,333455014,Aleksey_9,1,0
836,333468629,minhyug,1,0
838,333551561,senbenvebiz,1,0
839,333714059,nguyenkhanhngoc,1,0
841,333899257,antroi,1,0
842,334056686,poliangrang,1,0
844,334073303,,1,0
845,334116778,,1,0
847,334300209,,1,0
850,334509616,miaolidi1,1,0
852,334621041,valerak22,1,0
853,334786676,Ud4delite,1,0
855,334919757,,1,0
856,335006387,HazyFlame,1,0
857,335062936,sibiyar,1,0
859,335138300,Hoaithuong8029,1,0
861,335432278,,1,0
862,335529916,,1,0
863,335545404,alesh275,1,0
864,335618481,,1,0
865,335686752,,1,0
866,335698676,,1,0
867,335784011,tony1field,1,0
869,335873324,,1,0
870,336009971,,1,0
873,336161741,HuldaGreen,1,0
874,336217086,jiaogugu,1,0
876,336443571,,1,0
